temperature,salinity,pressure,latitude,longitude
28.691,34.924,4.3,-3.7257,73.8015
28.671,34.92,10.3,-3.7257,73.8015
28.437,34.901,15.3,-3.7257,73.8015
28.341,34.905,19.9,-3.7257,73.8015
28.304,34.965,25.9,-3.7257,73.8015
27.238,35.142,30.0,-3.7257,73.8015
26.962,35.169,35.6,-3.7257,73.8015
26.258,35.196,40.3,-3.7257,73.8015
24.302,35.212,50.5,-3.7257,73.8015
23.307,35.229,60.4,-3.7257,73.8015
22.795,35.24,70.0,-3.7257,73.8015
22.119,35.245,79.6,-3.7257,73.8015
21.854,35.243,88.5,-3.7257,73.8015
21.268,35.231,99.8,-3.7257,73.8015
20.801,35.207,109.9,-3.7257,73.8015
19.928,35.195,120.7,-3.7257,73.8015
18.917,35.191,130.3,-3.7257,73.8015
18.449,35.176,139.6,-3.7257,73.8015
17.281,35.09,150.2,-3.7257,73.8015
16.122,35.094,160.2,-3.7257,73.8015
15.328,35.069,170.4,-3.7257,73.8015
14.276,35.012,178.9,-3.7257,73.8015
13.609,34.984,190.5,-3.7257,73.8015
13.074,35.005,200.4,-3.7257,73.8015
12.768,35.043,220.2,-3.7257,73.8015
12.485,35.035,239.8,-3.7257,73.8015
12.169,35.023,259.4,-3.7257,73.8015
11.872,35.011,279.5,-3.7257,73.8015
11.429,34.99,297.4,-3.7257,73.8015
11.011,34.966,329.9,-3.7257,73.8015
10.787,34.952,359.7,-3.7257,73.8015
10.176,34.913,399.6,-3.7257,73.8015
9.768,34.888,450.4,-3.7257,73.8015
9.448,34.881,499.7,-3.7257,73.8015
9.148,34.876,550.3,-3.7257,73.8015
8.59,34.871,599.5,-3.7257,73.8015
8.424,34.908,650.2,-3.7257,73.8015
8.477,34.96,699.6,-3.7257,73.8015
8.137,34.961,750.4,-3.7257,73.8015
7.333,34.852,798.3,-3.7257,73.8015
6.906,34.822,850.2,-3.7257,73.8015
6.591,34.798,900.2,-3.7257,73.8015
6.476,34.815,949.8,-3.7257,73.8015
6.057,34.781,999.8,-3.7257,73.8015
5.839,34.789,1049.4,-3.7257,73.8015
5.767,34.805,1099.7,-3.7257,73.8015
5.296,34.776,1150.3,-3.7257,73.8015
5.065,34.782,1200.3,-3.7257,73.8015
4.949,34.802,1249.9,-3.7257,73.8015
4.675,34.794,1299.6,-3.7257,73.8015
4.484,34.784,1349.5,-3.7257,73.8015
4.369,34.779,1399.8,-3.7257,73.8015
4.013,34.776,1500.1,-3.7257,73.8015
3.657,34.789,1600.2,-3.7257,73.8015
3.467,34.798,1697.9,-3.7257,73.8015
3.11,34.784,1800.3,-3.7257,73.8015
2.893,34.769,1899.4,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
,,,-3.7257,73.8015
